title,url,time,starred,hash
"Favorite Products/AI - Q2 2025 Survey Results","instapaper://private-content/1764578927",1743446852,0,1XnxX7fk
"Hyperlegible 002: Utsav Mamoria","instapaper://private-content/1764517418",1743424517,0,RpM3UGJl
"💥Dodge This💥","instapaper://private-content/1764322695",1743347760,0,f3ibwKwd
"Note to Readers","instapaper://private-content/1764169049",1743273468,0,xvKngGjd
"Weekly Dose of Optimism #137","instapaper://private-content/1763888837",1743163263,0,H1O10tDI
"Layoffs and Unemployment Grow Among College Graduates","https://www.nytimes.com/2025/03/25/business/economy/white-collar-layoffs.html",1743056107,0,FUG8OAZP
"This Is Why Young People Really Voted for Trump","https://www.nytimes.com/2025/03/26/opinion/young-maga-trump-vote.html",1743019575,0,hJMaPATN
"Hyperlegible 001: Tina He","instapaper://private-content/1763370879",1742992841,0,y3xmH2t9
"Hyperlegibility","instapaper://private-content/1763087974",1742905525,0,2uZOgC9G
"Live video with Matt Taibbi now: America This Week, Live on Monday Nights","instapaper://private-content/1762965037",1742860971,0,VxcCEC3m
"YouTube TV, Wiz, and Why Monopolies Buy Innovation","instapaper://private-content/1762860509",1742828864,0,tx6sCyIB
"💥Beyond Fixing?💥","instapaper://private-content/1762633243",1742742992,0,xjJPcz5P
"Alexandria Ocasio-Cortez Puts Her Own Spin on Bernie Sanders’s Pitch","https://www.nytimes.com/2025/03/20/us/politics/aoc-bernie-sanders-vegas-denver.html",1742591855,0,aor7keGA
"Weekly Dose of Optimism #136","instapaper://private-content/1762190614",1742559566,0,iHoyGC1G
"Welcome to Search Engine with PJ Vogt","instapaper://private-content/1761724011",1742405573,0,f88qiB4g
"💥Gasping for Air💥","instapaper://private-content/1761654215",1742385921,0,79ObPpmu
"Come chat about The Pacific Circuit, writing, books, seeing the real world","instapaper://private-content/1761414656",1742313087,0,5Ac9I5zt
"💬 New message from Alexis Madrigal","instapaper://private-content/1761412826",1742312475,0,EJ1EGBLQ
"This is why Kamala Harris really lost","https://www.vox.com/politics/403364/tik-tok-young-voters-2024-election-democrats-david-shor",1742301024,0,1yDGBFtJ
"Live video with Matt Taibbi now: ATW Live on Monday","instapaper://private-content/1761266027",1742256135,0,8SEKY3pr
"The End of Children","instapaper://private-content/1761218971",1742237593,0,MccQ5FAr
"Darker Than a Dark Pool? Welcome to Wall Street’s ‘Private Rooms’","https://finance.yahoo.com/news/darker-dark-pool-welcome-wall-210011026.html",1742172454,0,IoCCAndE
"Matt Taibbi posted new notes","instapaper://private-content/1760942058",1742134442,0,gyFIx8u9
"America This Week Live - March 14, 2025","instapaper://private-content/1760718079",1742042273,0,i3mZDO3k
"Live video with Matt Taibbi now: America This Week Live March 14, 2025","instapaper://private-content/1760538477",1741963684,0,SQYMjgSG
"Weekly Dose of Optimism #135","instapaper://private-content/1760518133",1741956494,0,7LlJNSoA
"Something Is Rotten in the State of Cupertino","https://daringfireball.net/2025/03/something_is_rotten_in_the_state_of_cupertino",1741955572,0,JMM1JoTZ
"The Narrows of the Book","instapaper://private-content/1760105299",1741795228,0,YDIBlwB6
"💥Chegg-ed Out💥","instapaper://private-content/1760057168",1741781218,0,e4hU9F7g
"Live video with Matt Taibbi now: America This Week Live on Monday","instapaper://private-content/1759683980",1741651345,0,QZXAFxgw
"The Bully In His Pulpit","https://substack.com/home/post/p-158566388",1741650229,0,9UidiuJB
"Apple AI's Platform Pivot Potential (Stratechery Article 3-10-2025)","instapaper://private-content/1759552864",1741608500,0,YNcu9aSS
"Ban the H20: Competing in the Inference Age","https://www.chinatalk.media/p/ban-the-h20-competing-in-the-inference",1741567444,0,Glf3fEOo
"💥March Madness: Filings Pile Up💥","instapaper://private-content/1759329541",1741533369,0,4U3zMC1y
"Live video with Matt Taibbi now: Racket Library Livestream","instapaper://private-content/1759001660",1741381348,0,7X7KJq7u
"Weekly Dose of Optimism #134","instapaper://private-content/1758912533",1741354827,0,Hikecb48
"I Followed Three Women Who Wanted to Divorce Their Trump-Supporting Husbands. I Can’t Believe Where They Ended Up.","https://slate.com/life/2025/03/donald-trump-divorce-marriage-politics-men-women.html",1741286575,0,9YSZtUAT
"479792 is your Substack verification code","instapaper://private-content/1758580798",1741244906,0,rNibcYOW
"Primer: From Software to Schools","instapaper://private-content/1758405562",1741182659,0,moFkafvm
"💥LMEarnings Down 8.2%💥","instapaper://private-content/1758396490",1741179763,0,ep10rDNX
"Opinion | How Covid Remade Our America, Five Years Later","https://www.nytimes.com/interactive/2025/03/04/opinion/covid-impact-five-years-later.html",1741151587,0,Wii7duD7
"hot freaks","instapaper://private-content/1758164750",1741101790,0,ki7cBTnm
"💥Putting in Musk-ian Hours💥","instapaper://private-content/1757710870",1740932182,0,9VBbiH0s
"Weekly Dose of Optimism #133","instapaper://private-content/1757288403",1740750211,0,st5bdoYL
"The Job Market Is Frozen","https://www.theatlantic.com/ideas/archive/2025/02/jobs-unemployment-big-freeze/681831/",1740686320,0,QenAn8gE
"Notes on My Book, The Pacific Circuit, in the Present Moment","instapaper://private-content/1756876557",1740607042,0,rMY7HzQi
"😎Notice of Appearance - Adam Meislik 😎","instapaper://private-content/1756795838",1740579015,0,bm5psJGI
"How Progressives Froze the American Dream","https://www.theatlantic.com/magazine/archive/2025/03/american-geographic-social-mobility/681439/",1740518488,0,4NkcHQSL
"12ft","https://12ft.io/proxy",1740518446,0,PT4YVJav
"AI Promise and Chip Precariousness (Stratechery Article 2-25-2025)","instapaper://private-content/1756527393",1740503011,0,SvFGSiMK
"Listen to This Article - Bipartisan Coalition Finally Tells Europe, and the FBI, to Shove It","instapaper://private-content/1756064164",1740338191,0,qMYq5fza
"The Sneaky Ways Parents Transfer Money to Their Adult Children","https://nymag.com/intelligencer/article/how-is-wealth-transferred-generational-money-kids-children.html",1740336152,0,HdaN9D0i
"💥23andMeh💥","instapaper://private-content/1756034144",1740327395,0,dGG51Qet
"876690 is your Stratechery access code","instapaper://private-content/1755972098",1740298396,0,dMrztLBM
"The Anti-SNARF Manifesto","https://www.buzzfeed.com/jonah/the-anti-snarf-manifesto",1740181932,0,QwDbuezo
"Weekly Dose of Optimism #132","instapaper://private-content/1755604418",1740145325,0,v8tq1uFp
"Who is Larry Ellison?","instapaper://private-content/1755351453",1740059549,0,Q8RpLoT0
"Trump is Trolling the AP","instapaper://private-content/1755131788",1739985760,0,Zy0t52Rb
"💥A Vendor Apocalypse Part II💥","instapaper://private-content/1755076502",1739970401,0,0gEZ9oXf
"RemovePaywall | Free online paywall remover","https://www.removepaywall.com/search",1739817820,0,gx9g2UW4
"Essay | How Zoning Ruined the Housing Market in Blue-State America","https://www.wsj.com/politics/policy/how-zoning-ruined-the-housing-market-in-blue-state-america-3fa94568",1739743093,0,CIbzsLGS
"💥Farr Out, Man!💥","instapaper://private-content/1754366885",1739722581,0,NfaqkExp
"After Vance Blasts Europe, the Mask Drops","instapaper://private-content/1754363150",1739721248,0,QOSKCce2
"Germany Opens Big Fat Pie Hole","instapaper://private-content/1753999553",1739567094,0,Vdjzlzxa
"How Do Young Men See the World? We Asked Them.","https://www.esquire.com/news-politics/a63613007/young-men-america-2025/",1739563530,0,0pCtqQ0a
"Weekly Dose of Optimism #131","instapaper://private-content/1753908951",1739539736,0,PC7P242r
"The EPA's Incredible $20 Billion Dollar Caper, Explained","instapaper://private-content/1753790592",1739502829,0,GZWYgTk5
"Long Questions/Short Answers","instapaper://private-content/1753371268",1739367987,0,HEv3Nx2J
"💥LMeaty IB Earnings💥","instapaper://private-content/1753363662",1739365714,0,Cw0F211P
"America This Week - Livestream Tonight at 8 PM ET/7 PM CT","instapaper://private-content/1752895933",1739206231,0,C6e4W4YM
"Deep Research and Knowledge Value (Stratechery Article 2-10-2025)","instapaper://private-content/1752883755",1739202476,0,qXbsjZ5g
"💥What's the Deal(EO)?💥","instapaper://private-content/1752626509",1739117779,0,z8qpZRjv
"The Media is Busted","instapaper://private-content/1752321524",1738975219,0,AfL84hed
"Weekly Dose of Optimism #130","instapaper://private-content/1752204731",1738934785,0,xYx2XBS1
"Opinion | Trump’s Plan to Free Palestinians From Gaza","https://www.wsj.com/opinion/trumps-plan-to-free-the-palestinians-gaza-strip-foreign-policy-middle-east-87ae687d",1738798669,0,OPkg62jb
"💥Charging into Bankruptcy💥","instapaper://private-content/1751673569",1738760811,0,GOaG40CD
"Nation Shrugs as Godzilla Eats Washington","instapaper://private-content/1751527270",1738712160,0,pXYNYwo3
"How Weight-Loss Drugs Can Upend a Marriage","https://www.nytimes.com/2025/02/02/magazine/weight-loss-side-effects-sex-ozempic.html",1738609429,0,k4muHqkD
"💥Cautionary Tales💥","instapaper://private-content/1750965371",1738512988,0,JOT6bNK2
"How Will Financial Scams Affect Big Business in 2025?","instapaper://private-content/1750564183",1738355027,0,UVZBVzVi
"Weekly Dose of Optimism #129","instapaper://private-content/1750468351",1738329919,0,kpPerSaB
"Meter: The Internet Utility","instapaper://private-content/1750224880",1738244837,0,h28ooNZN
"💥Notice of Appearance: Andrew Glenn💥","instapaper://private-content/1749946693",1738155900,0,2WEZyjSk
"543031 is your Stratechery access code","instapaper://private-content/1749470390",1737996551,0,d7cLug4y
"DeepSeek FAQ (Stratechery Article 1-27-2025)","instapaper://private-content/1749435801",1737987178,0,xG1GkUtA
"💥Prescription-Grade Problems? Part II.💥","instapaper://private-content/1749239145",1737908193,0,GNdWlSAO
"Weekly Dose of Optimism #128","instapaper://private-content/1748817223",1737723000,0,fqYQ1CHv
"The magnolia bloomed today","instapaper://private-content/1748457109",1737606288,0,vlPiW0nw
"Most Human Wins","instapaper://private-content/1748291386",1737553458,0,jZmCONLv
"💥Decidely Poor Prospect(s)💥","instapaper://private-content/1748284635",1737551169,0,d9E9NBoO
"Stratechery Plus + Asianometry","instapaper://private-content/1747799210",1737391132,0,SgtWGJmN
"💥A Vendor Apocalypse💥","instapaper://private-content/1747569472",1737303369,0,hVT9tgEM
"Weekly Dose of Optimism #127","instapaper://private-content/1747063497",1737121158,0,YjDPT0g2
"Left Organizing Is in Crisis. Philanthropy Is a Major Reason Why.","https://www.thenation.com/article/society/progressive-left-philanthropy-strategy/",1737070189,0,nP5Tldfp
"Interview: On Facebook and Mark Zuckerberg","instapaper://private-content/1746773163",1737035123,0,1GocwkAY
"💥Prescription-Grade Problems?💥","instapaper://private-content/1746509074",1736946294,0,uGJSQ5Bb
"Head of Infamous ""Information Disorder"" Commission Promoted at NPR","instapaper://private-content/1746294420",1736873558,0,1DpfRtEy
"AI's Uneven Arrival (Stratechery Article 1-13-2025)","instapaper://private-content/1745941285",1736780764,0,fgWX4NgG
"💥Serta-fiable💥","instapaper://private-content/1745647721",1736698561,0,CYgKKvpT
"How to Access Retirement Funds Early","https://www.madfientist.com/how-to-access-retirement-funds-early/",1736624041,0,ip9GcLgJ
"Weekly Dose of Optimism #126","instapaper://private-content/1745137386",1736516680,0,i0hWw6Lf
"💥HNY! To Hope and Healing!!💥","instapaper://private-content/1744531320",1736341505,0,xWM7tEVY
"ATW Livestream Tonight at 8 PM ET/7 PM CT","instapaper://private-content/1743997718",1736180143,0,m7n7NZHu
"💥Inflated💥","instapaper://private-content/1743746802",1736093776,0,oREnl2Eo
"Can the rich world escape its baby crisis?","https://archive.md/cJY3B",1735951224,0,cwi1DcfK
"America This Week: Terror Attacks Live Discussion at 10 ET, Friday, January 3","instapaper://private-content/1743290207",1735912641,0,sQOTs3XR
"A life project, a simple conversation","instapaper://private-content/1742827083",1735784430,0,INKu2p74
"Goodbye to 2024, America's Craziest Year","instapaper://private-content/1742519871",1735678197,0,l691Xbdf
"Casual Viewing | Will Tavlin","https://www.nplusonemag.com/issue-49/essays/casual-viewing/",1735521424,0,zKMh5Qu0
"The Tao of a TV Lifer","https://www.essesmag.com/articles/the-tao-of-a-tv-lifer",1734928413,0,A3XfFe6a
"💥RX Pros Weigh In. Part II.💥","instapaper://private-content/1739994257",1734884183,0,P03HF9Kk
"Weekly Dose of Optimism #125","instapaper://private-content/1739203167",1734702214,0,d543Q3vC
"The Return of Magic","instapaper://private-content/1738843742",1734626817,0,XTCRP19o
"<em>Acta Paediatrica</em> | Paediatrics Journal | Wiley Online Library","https://onlinelibrary.wiley.com/doi/10.1111/apa.14841",1734626435,0,ZskbPMtT
"The 2024 Stratechery Year in Review","instapaper://private-content/1738712355",1734605620,0,yb2pbVI3
"😎RX Pros Weigh In. Part I.😎","instapaper://private-content/1738350720",1734526929,0,POf8HSax
"Never Forgive Them","https://www.wheresyoured.at/never-forgive-them/",1734379291,0,4HmcumYw
"💥This Party Sucks💥","instapaper://private-content/1737266636",1734279379,0,GUTsjz2P
"Weekly Dose of Optimism #124","instapaper://private-content/1736620572",1734097202,0,BAtcwjOL
"💥Child's Play💥","instapaper://private-content/1735846458",1733922320,0,V2kxWIIf
"Intel's Death and Potential Revival (Stratechery Article 12-9-2024)","instapaper://private-content/1735068892",1733749544,0,4XEYgnG9
"💥Tire-d of Creditor on Creditor Violence💥","instapaper://private-content/1734791026",1733674618,0,QBVKPB6b
"When AI summaries replace hyperlinks, thought itself is flattened | Aeon Essays","https://aeon.co/essays/when-ai-summaries-replace-hyperlinks-thought-itself-is-flattened",1733621416,0,rqELntgT
"Weekly Dose of Optimism #123","instapaper://private-content/1734150103",1733492332,0,OB0mtrWI
"Introducing Boring News","instapaper://private-content/1733117311",1733234292,0,Rxfo9XDK
"💥Shaken, Not Stirred💥","instapaper://private-content/1733101580",1733231218,0,Z24QBtMR
"The Gen AI Bridge to the Future (Stratechery Article 12-2-2024)","instapaper://private-content/1732746470",1733153075,0,rPlupfil
"Weekly Dose of Optimism #122","instapaper://private-content/1731879973",1732887693,0,vxyyjyzq
"💥NYC Distressed Investing Conference💥","instapaper://private-content/1731155402",1732717900,0,R53w2oei
"Rox","instapaper://private-content/1730773462",1732629228,0,mr5NkTIX
"💥It's a ""Creditor Takeover""💥","instapaper://private-content/1730399692",1732539988,0,1RbjfKHx
"💥Risk on AF💥","instapaper://private-content/1730162076",1732464980,0,iXZQYMUz
"Weekly Dose of Optimism #121","instapaper://private-content/1729606320",1732283309,0,m7uRrtn8
"How to give a senior leader feedback (without getting fired)","https://newsletter.weskao.com/p/how-to-give-a-senior-leader-feedback-without-getting-fired",1732116534,0,mci4mwJ3
"💥Solar Coaster. Part II.💥","instapaper://private-content/1728913241",1732107984,0,0H1jeFbU
"[untitled]","instapaper://private-content/1728582864",1732024200,0,QI1wWhLg
"A Chance to Build (Stratechery Article 11-18-2024)","instapaper://private-content/1728293458",1731946076,0,AKs1E1oy
"💥Blink-121!💥","instapaper://private-content/1727976262",1731860206,0,CFa3bTQV
"The Overlooked Lesson of The Parable of the Sower","instapaper://private-content/1727757647",1731771557,0,ngaHWo1e
"Weekly Dose of Optimism #120","instapaper://private-content/1727441299",1731678431,0,CE4Sq16f
"The Trump Bubble","instapaper://private-content/1726755472",1731504770,0,y5X5YMcI
"💥Notice of Appearance💥","instapaper://private-content/1726749283",1731503307,0,xTqZfEIi
"💥Riled Up💥","instapaper://private-content/1725783814",1731255393,0,8lZ6OSIV
"Weekly Dose of Optimism #119","instapaper://private-content/1725137464",1731072917,0,6ciDnzy3
"💥The bankers keep winning💥","instapaper://private-content/1724517839",1730898497,0,7RnAsR0C
"Read More Books","instapaper://private-content/1724209262",1730815717,0,RCFhm0hT
"💥Inexact💥","instapaper://private-content/1723462655",1730650640,0,qmu6HK9e
"Weekly Dose of Optimism #118","instapaper://private-content/1722762656",1730465912,0,lITCrYWW
"💥Azul Lands LM💥","instapaper://private-content/1721963659",1730289921,0,PB0gjPCC
"Infinity Missions","instapaper://private-content/1721626974",1730208846,0,R0hQ89oF
"💥Another Flat Tire💥","instapaper://private-content/1721045509",1730042197,0,LCoAehhf
"Recommendations from your Substacks","instapaper://private-content/1720633150",1729891080,0,SyvNDrEj
"Theaster Gates Is Redefining What It Means to Be an Artist","https://www.nytimes.com/interactive/2024/10/17/t-magazine/theaster-gates-chicago-art-multidisciplinary.html",1729878955,0,bUBBQfCu
"The Surprising Secret to Raising a Well-Behaved Kid","https://www.parents.com/toddlers-preschoolers/development/behavioral/the-surprising-secret-to-raising-a-well-behaved-kid/",1729878712,0,pMRnn5x5
"Weekly Dose of Optimism #117","instapaper://private-content/1720494953",1729859953,0,Zs0nHg6k
"What Do You Do With an Idea?","instapaper://private-content/1719901462",1729688376,0,VgWb08LL
"💥Worse for the (Tupper)Ware💥","instapaper://private-content/1719548481",1729598509,0,qQ3BiqAX
"💥That's the Spirit!💥","instapaper://private-content/1719004861",1729437401,0,8Yj5CxJG
"‘The Interview’: Mia Khalifa’s Messy World of Money, Sex and Activism","https://www.nytimes.com/2024/10/19/magazine/mia-khalifa-interview.html",1729381882,0,CxOeG8zc
"Weekly Dose of Optimism #116","instapaper://private-content/1718471620",1729256130,0,zJLvqtfK
"💥A Wave of Cancelled Auctions💥","instapaper://private-content/1717869611",1729080388,0,zArcOBAc
"💥(Accu)Ride or Die💥","instapaper://private-content/1717013125",1728832598,0,ueqfas4m
"Weekly Dose of Optimism #115","instapaper://private-content/1716555710",1728650223,0,UCgnsGL0
"Why So Many Chefs Don’t Want Restaurants Anymore","https://www.nytimes.com/2024/10/10/t-magazine/chefs-without-restaurants.html",1728592504,0,143V14fQ
"Matt Taibbi posted a new note","instapaper://private-content/1716215617",1728564321,0,jaZoqhXn
"💥Taking Out the EV Garbage💥","instapaper://private-content/1715918051",1728475581,0,e5MJqa5j
"Burn the Playbooks","instapaper://private-content/1715655138",1728392257,0,aphhAWxW
"💥Leveraged Loans Lead💥","instapaper://private-content/1715161081",1728227797,0,1CiLBH8Z
"How Israel has made trauma a weapon of war","https://www.theguardian.com/us-news/ng-interactive/2024/oct/05/israel-gaza-october-7-memorials",1728168731,0,XggIZ8gu
"Weekly Dose of Optimism #114","instapaper://private-content/1714622415",1728045641,0,SqRySokY
"On Annie's Annuals Closing","instapaper://private-content/1714519584",1728014554,0,q15e9j6W
"💥Concepts of a Plan💥","instapaper://private-content/1714084107",1727870728,0,8aUFe7Oi
"Cuby: The House Factory Factory","instapaper://private-content/1713797552",1727787094,0,JfZ6FNlZ
"Challenging The Myths of Generative AI | TechPolicy.Press","https://techpolicy.press/challenging-the-myths-of-generative-ai",1727668425,0,MwL0rgc4
"The Unraveling of Space-Time | Quanta Magazine","https://www.quantamagazine.org/the-unraveling-of-space-time-20240925/",1727665109,0,ThKZifAt
"💥3D Printers & Dental Lasers💥","instapaper://private-content/1713254801",1727623000,0,RzdkxVyu
"Weekly Dose of Optimism #113","instapaper://private-content/1712748332",1727440984,0,K5ki0jSX
"Greater Los Angeles","https://bldgblog.com/2007/10/greater-los-angeles/",1727295971,0,TCO9I8Ws
"⚡️Solar Coaster⚡️","instapaper://private-content/1712141031",1727266095,0,HLxCgXyV
"💥Can't Contain the Drama💥","instapaper://private-content/1711364172",1727018198,0,wdoVebo3
"Weekly Dose of Optimism #112","instapaper://private-content/1710855190",1726836324,0,Ks9ltiNB
"💥Beyond Effed?💥","instapaper://private-content/1710224569",1726661352,0,Qy3A1uzx
"Vertical Integrators: Part IV","instapaper://private-content/1709972968",1726577752,0,ju25lZSk
"💥Strong September💥","instapaper://private-content/1709473490",1726413388,0,v6zyRcMD
"Weekly Dose of Optimism #111","instapaper://private-content/1708990127",1726231062,0,RMP6cUXZ
"Recommendations from your Substacks","instapaper://private-content/1708765785",1726158144,0,GkiDIG5e
"💥More Failed LME (Wheel Pros)💥","instapaper://private-content/1708413292",1726056625,0,FrMXpxhe
"414255 is your Stratechery access code","instapaper://private-content/1708270408",1726007373,0,ulTAkyrU
"Boomer Apple (Stratechery Article 9-10-2024)","instapaper://private-content/1708140738",1725975333,0,pMgj3zGZ
"Vertical Integrators: Part III","instapaper://private-content/1708131169",1725973029,0,KCsHy7Q9
"Greed, Gluttony and the Crackup of Red Lobster","https://www.nytimes.com/2024/09/09/business/red-lobster-seafood-downfall.html?smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb",1725911038,0,W5HMuiDW
"💥Not if, but how much💥","instapaper://private-content/1707632849",1725808614,0,x9IKLjMn
"Opinion | The Junkification of American Life","https://www.nytimes.com/2024/09/05/opinion/entertainment-junk-psychology.html",1725651404,0,VZU1ZWia
"Founder Mode","https://paulgraham.com/foundermode.html",1725651158,0,hhXrzXbQ
"Weekly Dose of Optimism #110","instapaper://private-content/1707162105",1725626177,0,R4bOq6Yi
"Making out and eating pizza with J.Crew","https://www.readfeedme.com/p/making-out-and-eating-pizza-with",1725488458,0,Dypx1Dls
"Vertical Integrators: Part II","instapaper://private-content/1706602290",1725453863,0,nPvlqObj
"💥Taking an ""L""💥","instapaper://private-content/1706594425",1725451500,0,Ll0nLEsF
"Intel Honesty (Stratechery Article 9-3-2024)","instapaper://private-content/1706363897",1725370928,0,KWi0iHND
"A mulberry leaf","instapaper://private-content/1706171098",1725297204,0,ayF8vW7g
"America This Week, August 30, 2024: ""The Campaign Rebrand""","instapaper://private-content/1705440485",1725026528,0,swUpJkNA
"Weekly Dose of Optimism #109","instapaper://private-content/1705423572",1725021447,0,keGISrLF
"Vertical Integrators","instapaper://private-content/1704612974",1724763268,0,SDaUeGjR
"Weekly Dose of Optimism #108","instapaper://private-content/1703682973",1724417514,0,WbWehBH6
"💥""Slower and Steadier""💥","instapaper://private-content/1703149118",1724241981,0,IHf2DK0y
"Social Video is Eating the World","https://dougshapiro.substack.com/p/social-video-is-eating-the-world?_cio_id=f6c60617da42abd12a&r=zqmh&triedRedirect=true&utm_campaign=What%2BI%27m%2BHearing%2B-%2BSUBSCRIBERS%2B(8%2F19%2F24)&utm_content=What%2BI%27m%2BHearing%2B-%2BSUBSCRIBERS%2B(8%2F19%2F24)&utm_medium=email_action&utm_source=customer.io&utm_term=f6c60617da42abd12a",1724127473,0,c2lakk7a
"💥A Late Summer Wave💥","instapaper://private-content/1702476823",1723994201,0,Dlaa6Qi7
"How ESPN Bet Is Trying to Catch Up to FanDuel and DraftKings","https://www.bloomberg.com/news/features/2024-08-15/how-espn-s-trying-to-catch-up-to-fanduel-draftkings-in-sports-betting",1723836336,0,40bTIpBd
"Weekly Dose of Optimism #107","instapaper://private-content/1702011748",1723812004,0,Cj3J11FA
"He Still Thought He Could Win: Inside Biden’s Decision to Drop Out","https://www.nytimes.com/2024/08/15/us/politics/biden-2024-election-dropped-out.html?unlocked_article_code=1.DE4.mzZ5.fBwto3WNtIMx",1723729326,0,KmST67Jj
"Integration and Android (Stratechery Article 8-14-2024)","instapaper://private-content/1701549746",1723643992,0,k48A3meq
"💥Big Lots. Fisker. BUCA.💥","instapaper://private-content/1701526701",1723637373,0,WIuD8O2c
"Eight Sleep","instapaper://private-content/1701260207",1723553420,0,qDECh7dD
"FOIA Files: University of Washington","instapaper://private-content/1701072362",1723487246,0,oCHtdoOg
"Why most leaders suck","https://thegentleforce.me/p/why-most-leaders-suck",1723424050,0,IrKNy8b0
"💥Weight Watchers' Shrinkage💥","instapaper://private-content/1700779209",1723389351,0,PElIHJGR
"Soviet Pomegranates","instapaper://private-content/1700641677",1723326950,0,f48cyFLT
"Weekly Dose of Optimism #106","instapaper://private-content/1700295423",1723207561,0,ZUClqU6m
"","https://scholarworks.gvsu.edu/cgi/viewcontent.cgi?article=1680&context=tfr",1723092374,0,l99XxKf1
"🦞(Blood) Red Lobster. Part II.🦞","instapaper://private-content/1699722079",1723032536,0,yxCyZwLY
"Radiant","instapaper://private-content/1699451365",1722948739,0,N5XUuigB
"I Put Up a Fence in Maine. Why Did It Cause Such a Fuss?","https://www.nytimes.com/2024/07/15/magazine/maine-fence.html",1722891612,0,qXpZQfqg
"A Battle Over a Farm, a Mosque and the Moral High Ground","https://www.nytimes.com/2024/08/04/us/minnesota-farm-lino-lakes-mosque.html?smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb",1722800675,0,eX5EhDgb
"PJT ❤️ LME","instapaper://private-content/1698993306",1722784582,0,2yAB21fN
"","https://www.washingtonpost.com/outlook/2020/08/06/health-insurance-canada-lie/",1722750212,0,TKX8jXgc
"Weekly Dose of Optimism #105","instapaper://private-content/1698553292",1722602403,0,pN4vrzO1
"🔥AMC!!🔥","instapaper://private-content/1698024774",1722427416,0,4q4UkyZT
"Blackbird","instapaper://private-content/1697777246",1722344314,0,YjXKBNvP
"The Annotated Transformer","https://nlp.seas.harvard.edu/annotated-transformer/",1722289785,0,PuoKVcZl
"How Does OpenAI Survive?","https://www.wheresyoured.at/to-serve-altman/",1722278567,0,Aji1fK83
"💥Rate Cuts Coming?!💥","instapaper://private-content/1697327179",1722179745,0,n0A5OeTN
"Weekly Dose of Optimism #104","instapaper://private-content/1696865617",1721997577,0,JxSJv7WK
"The moral bankruptcy of Marc Andreessen and Ben Horowitz","https://www.theverge.com/2024/7/24/24204706/marc-andreessen-ben-horowitz-a16z-trump-donations",1721928538,0,LdLB8RDG
"🔥AMC!🔥","instapaper://private-content/1696360634",1721822817,0,zirEs4CG
"Why the Democrats Lost Tech","instapaper://private-content/1696103447",1721739256,0,wR1wHk4T
"Crashes and Competition (Stratechery Article 7-22-2024)","instapaper://private-content/1695824733",1721643135,0,fW3LJfVI
"💥Most Telegraphed Chapter7 in History💥","instapaper://private-content/1695668428",1721574985,0,OWBNn6VV
"Weekly Dose of Optimism #103","instapaper://private-content/1695214552",1721392404,0,CHBrsr6K
"💥""Where did you dig up that old Fossil?"" - Han Solo💥","instapaper://private-content/1694683692",1721217989,0,9B2DC5HS
